Name,Reference
BGerLower,Formblatt!#REF!
BGerUpper,Formblatt!#REF!
CLdat,Formblatt!$BB$1
CmtLower,Formblatt!$A$48
CommitPos,Formblatt!$L$32
DataChecked,Formblatt!$AO$37
EndPin,Formblatt!$AV$15
GER,Formblatt!$AB$14
JaNein,Daten!$A$41:$A$42
Löschen,Formblatt!$W$15
nMakro,Formblatt!$DA$34
Oberflaechen,Daten!$A$44:$A$51
Pinchar0,Pinchar0!$A$5
Pinchar1,Pinchar1!$A$5
Pinchar2,Pinchar2!$A$5
Pinchar3,Pinchar3!$A$5:$A$9
Pinchar4,Pinchar4!$A$5
Pinchar5,Pinchar5!$A$5
Pinchar6,Pinchar6!$A$5
Pinchar7,Pinchar7!$A$5
Pins,Formblatt!$B$17:$HV$17
PinsLower,Formblatt!$A$21
PinsUpper,Formblatt!$A$16
Pintypen,Daten!$A$2:$A$9
PrntPdf,Formblatt!$CJ$34
Slots,Formblatt!$B$27:$CS$27
SlotsLower,Formblatt!$A$28
SlotsUpper,Formblatt!$A$26
StartPin,Formblatt!$AV$14
State,Formblatt!$AO$34
SumPins,Formblatt!$AR$14
SumSlots,Formblatt!$X$14
Teilenummer,Formblatt!$J$5
VWS,Formblatt!$BO$7
VWSdef,Formblatt!$BP$9
