#CL_Utilization###
1+;1st stage 1st selection plus level;Erste Auswahl oder Stufe Pluspegel
1;1st stage 1st selection;Erste Auswahl oder Stufe
1-;1st stage 1st selection minus level;Erste Auswahl oder Stufe MInuspegel
10+;10st stage 10st selection plus level;10 Auswahl oder Stufe Pluspegel
10-;10st stage 10st selection minus level;10 Auswahl oder Stufe MInuspegel
10;10st stage 10st selection;10 Auswahl oder Stufe
11-;11st stage 11st selection minus level;11 Auswahl oder Stufe MInuspegel
11+;11st stage 11st selection plus level;11 Auswahl oder Stufe Pluspegel
11;11st stage 11st selection;11. Auswahl oder Stufe
12;12st stage 12st selection;12. Auswahl oder Stufe
12+;12st stage 12st selection plus level;12 Auswahl oder Stufe Pluspegel
12-;12st stage 12st selection minus level;12 Auswahl oder Stufe MInuspegel
13+;13st stage 13st selection plus level;13 Auswahl oder Stufe Pluspegel
13;13st stage 13st selection;13. Auswahl oder Stufe
13-;13st stage 13st selection minus level;13 Auswahl oder Stufe MInuspegel
14+;14st stage 14st selection plus level;14 Auswahl oder Stufe Pluspegel
14-;14st stage 14st selection minus level;14 Auswahl oder Stufe MInuspegel
14;14st stage 14st selection;14. Auswahl oder Stufe
15;15st stage 15st selection;15. Auswahl oder Stufe
15-;15st stage 15st selection minus level;15 Auswahl oder Stufe MInuspegel
15+;15st stage 15st selection plus level;15 Auswahl oder Stufe Pluspegel
16-;16st stage 16st selection minus level;16 Auswahl oder Stufe MInuspegel
16+;16st stage 16st selection plus level;16 Auswahl oder Stufe Pluspegel
16;16st stage 16st selection;16. Auswahl oder Stufe
17;17st stage 17st selection;17. Auswahl oder Stufe
17+;17st stage 17st selection plus level;17 Auswahl oder Stufe Pluspegel
17-;17st stage 17st selection minus level;17 Auswahl oder Stufe MInuspegel
18+;18st stage 18st selection plus level;18 Auswahl oder Stufe Pluspegel
18-;18st stage 18st selection minus level;18 Auswahl oder Stufe MInuspegel
18;18st stage 18st selection;18. Auswahl oder Stufe
19+;19st stage 19st selection plus level;19 Auswahl oder Stufe Pluspegel
19;19st stage 19st selection;19. Auswahl oder Stufe
19-;19st stage 19st selection minus level;19 Auswahl oder Stufe MInuspegel
2;2nd State or 2nd Selection;Zweite Auswahl oder Stufe
2-;2nd State or 2nd Selection minus level;Zweite Auswahl oder Stufe Minuspegel
2+;2nd State or 2nd Selection plus level;Zweite Auswahl oder Stufe Pluspegel
20+;20st stage 20st selection plus level;20 Auswahl oder Stufe Pluspegel
20-;20st stage 20st selection minus level;20 Auswahl oder Stufe MInuspegel
21-;21st stage 21st selection minus level;21 Auswahl oder Stufe MInuspegel
21+;21st stage 21st selection plus level;21 Auswahl oder Stufe Pluspegel
22-;22st stage 22st selection minus level;22 Auswahl oder Stufe MInuspegel
22+;22st stage 22st selection plus level;22 Auswahl oder Stufe Pluspegel
23-;23st stage 23st selection minus level;23 Auswahl oder Stufe MInuspegel
23+;23st stage 23st selection plus level;23 Auswahl oder Stufe Pluspegel
